#### Simulations (1)
# batteryCharge #1
0.0 0.0
0.0 0.0
0.21 50.0
0.21 50.0
9.999999999999828 50.0
10.0 50.0
10.21 49.92
10.21 49.92
20.00000000000031 49.92
20.00000000000065 49.92
20.21000000000069 49.84
20.21000000000069 49.84
30.00000000000185 49.84
30.00000000000237 49.84
30.2100000000024 49.76
30.2100000000024 49.76
40.00000000000057 49.76
40.00000000000126 49.76
40.21000000000122 49.68
40.21000000000122 49.68
49.99999999999858 49.68
49.99999999999943 49.68
50.21336716177539 49.6
50.21336716177539 49.6
59.99999999999665 49.6
59.99999999999768 49.6
60.21336716177347 49.52
60.21336716177347 49.52
69.99999999999893 49.52
70.00000000000014 49.52
70.2133671617759 49.44
70.2133671617759 49.44
80.00000000000404 49.44
80.0000000000054 49.44
80.213367161781 49.36
80.213367161781 49.36
90.00000000000914 49.36
90.00000000001069 49.36
90.21336716178611 49.28
90.21336716178611 49.28
100.0000000000143 49.28
100.000000000016 49.28
100.2133671617912 49.2
100.2133671617912 49.2
110.0000000000194 49.2
110.0000000000212 49.2
110.2133671617963 49.12
110.2133671617963 49.12
120.0000000000245 49.12
120.0000000000265 49.12
120.2133671618014 49.04
120.2133671618014 49.04
130.0000000000267 49.04
130.0000000000289 49.04
130.2133671618034 48.96
130.2133671618034 48.96
140.0000000000177 48.96
140.0000000000201 48.96
140.2133671617944 48.88
140.2133671617944 48.88
150.0000000000088 48.88
150.0000000000113 48.88
150.2133671617854 48.8
150.2133671617854 48.8
159.9999999999997 48.8
160.0000000000025 48.8
160.2133671617764 48.72
160.2133671617764 48.72
169.9999999999908 48.72
169.9999999999937 48.72
170.2133671617674 48.64
170.2133671617674 48.64
179.9999999999818 48.64
179.9999999999849 48.64
180.2133671617585 48.56
180.2133671617585 48.56
189.9999999999728 48.56
189.999999999976 48.56
190.2133671617495 48.48
190.2133671617495 48.48
199.9999999999637 48.48
199.9999999999671 48.48
200.2133671617404 48.4
200.2133671617404 48.4
209.9999999999547 48.4
209.9999999999582 48.4
210.2133671617313 48.32
210.2133671617313 48.32
219.9999999999455 48.32
219.9999999999493 48.32
220.2133671617222 48.24
220.2133671617222 48.24
229.9999999999364 48.24
229.9999999999404 48.24
230.2133671617131 48.16
230.2133671617131 48.16
239.9999999999274 48.16
239.9999999999315 48.16
240.2133671617041 48.08
240.2133671617041 48.08
249.9999999999183 48.08
249.9999999999226 48.08
