#### Simulations (1)
# batteryCharge #1
0.0 0.0
0.0 0.0
0.08688994577154516 50.0
0.08688994577154516 50.0
9.999999999999865 50.0
10.0 50.0
10.08 49.92
10.08 49.92
20.00000000000035 49.92
20.00000000000066 49.92
20.08000000000067 49.84
20.08000000000067 49.84
30.0000000000019 49.84
30.00000000000238 49.84
30.0800000000024 49.76
30.0800000000024 49.76
40.00000000000062 49.76
40.00000000000127 49.76
40.08000000000126 49.68
40.08000000000126 49.68
49.99999999999865 49.68
49.99999999999947 49.68
50.07999999999946 49.6
50.07999999999946 49.6
59.99999999999721 49.6
59.99999999999766 49.6
60.07999999999765 49.52
60.07999999999765 49.52
69.9999999999994 49.52
70.00000000000003 49.52
70.08000000000007 49.44
70.08000000000007 49.44
80.00000000000448 49.44
80.00000000000529 49.44
80.08000000000533 49.36
80.08000000000533 49.36
90.00000000000956 49.36
90.00000000001054 49.36
90.08000000001059 49.28
90.08000000001059 49.28
100.0000000000146 49.28
100.0000000000157 49.28
100.0800000000157 49.2
100.0800000000157 49.2
110.0000000000196 49.2
110.0000000000209 49.2
110.0800000000209 49.12
110.0800000000209 49.12
120.0000000000246 49.12
120.0000000000261 49.12
120.0800000000261 49.04
120.0800000000261 49.04
130.0000000000269 49.04
130.0000000000286 49.04
130.0800000000285 48.96
130.0800000000285 48.96
140.0000000000178 48.96
140.0000000000197 48.96
140.0800000000196 48.88
140.0800000000196 48.88
150.0000000000089 48.88
150.0000000000109 48.88
150.0800000000109 48.8
150.0800000000109 48.8
159.9999999999998 48.8
160.000000000002 48.8
160.0800000000019 48.72
160.0800000000019 48.72
169.9999999999908 48.72
169.9999999999932 48.72
170.0799999999931 48.64
170.0799999999931 48.64
179.9999999999818 48.64
179.9999999999843 48.64
180.0799999999842 48.56
180.0799999999842 48.56
189.9999999999727 48.56
189.9999999999755 48.56
190.0799999999754 48.48
190.0799999999754 48.48
199.9999999999637 48.48
199.9999999999666 48.48
200.0799999999665 48.4
200.0799999999665 48.4
209.9999999999546 48.4
209.9999999999577 48.4
210.0799999999576 48.32
210.0799999999576 48.32
219.9999999999456 48.32
219.9999999999488 48.32
220.0799999999487 48.24
220.0799999999487 48.24
229.9999999999365 48.24
229.9999999999399 48.24
230.0799999999398 48.16
230.0799999999398 48.16
239.9999999999274 48.16
239.9999999999309 48.16
240.0799999999309 48.08
240.0799999999309 48.08
249.9999999999183 48.08
